Sample,Date,Replicate,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless parasitoid wasp,Other wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
B7,6/13/2019,A,SSH,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B8,6/13/2019,B,SSH,15,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B9,6/13/2019,A,DGM,69,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B10,6/13/2019,B,DGM,38,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B11,6/13/2019,C,DGM,32,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B12,6/13/2019,A,BFB,17,24,0,4,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,6/13/2019,B,BFB,14,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B14,6/13/2019,C,BFB,8,20,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,6/13/2019,A,SNC,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B16,6/13/2019,B,SNC,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
