Sample,Date,Site,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless parasitoid wasp,Other wasp,Miridae,Cicadellidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Anthocoridae,Reduviidae,Cercopoidea,Unknown Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Unknown coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Neuroptera
C1,5/13/2021,BFB,0,18,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
C2,5/13/2021,BFB,0,23,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C3,5/13/2021,WSC,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4,5/13/2021,WSC,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C5,5/13/2021,SSH,0,44,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
C6,5/13/2021,SSH,0,41,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
C7,5/13/2021,EWB,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8,5/13/2021,EWB,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9,5/13/2021,HDB,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,5/13/2021,HDB,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C11,5/13/2021,SNC,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C12,5/13/2021,SNC,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C13,5/13/2021,DGM,0,6800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14,5/13/2021,DGM,0,4800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C15,6/17/2021,BFB,2,34,0,1,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
C16,6/17/2021,BFB,0,38,0,0,1,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
C17,6/17/2021,WSC,0,16,0,0,0,2,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0
C18,6/17/2021,WSC,0,16,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28,1,0,0
C19,6/17/2021,SSH,0,42,0,0,1,3,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
C20,6/17/2021,SSH,0,31,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
C21,6/17/2021,EWB,0,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
C22,6/17/2021,EWB,0,17,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C23,6/17/2021,HDB,0,19,0,0,0,4,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,0
C24,6/17/2021,HDB,0,19,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
C25,6/17/2021,SNC,0,17,0,1,0,2,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
C26,6/17/2021,SNC,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C27,6/17/2021,DGM,0,72,0,0,1,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0
C28,6/17/2021,DGM,0,62,0,0,1,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0
C29,7/21/2021,BFB,0,41,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C30,7/21/2021,BFB,0,39,0,1,1,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
C31,7/21/2021,WSC,1,18,0,0,0,5,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
C32,7/21/2021,WSC,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,2,1,0,0
C33,7/21/2021,SSH,2,19,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
C34,7/21/2021,SSH,0,22,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
C35,7/21/2021,EWB,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C36,7/21/2021,EWB,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C37,7/21/2021,HDB,0,30,0,0,0,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0
C38,7/21/2021,HDB,0,18,0,2,2,10,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0
C39,7/21/2021,SNC,0,3,0,0,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C40,7/21/2021,SNC,1,9,0,0,1,2,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C41,7/21/2021,DGM,0,209,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0
C42,7/21/2021,DGM,0,64,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0
C43,8/26/2021,BFB,0,50,1,2,0,17,0,2,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0
C44,8/26/2021,BFB,0,31,1,0,0,7,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0
C45,8/26/2021,WSC,0,36,0,0,0,17,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,9,1,0,0
C46,8/26/2021,WSC,1,48,0,0,1,8,0,0,0,1,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
C47,8/26/2021,SSH,0,13,0,0,0,10,0,0,0,0,0,376,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
C48,8/26/2021,SSH,0,16,0,0,0,0,0,0,0,0,0,377,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
C49,8/26/2021,EWB,0,13,0,0,0,4,0,0,0,0,0,77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0
