Date,Site,design,Syrphidae,Diptera,Formicidae,Apoidea,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Other.wasp,Miridae,Cicadellidae,Cercopidae,Membracidae,Aphididae,Aleyrodidae,Psyllidae,Pentatomidae,Anthocoridae,Reduviidae,Tingidae,Adelgidae,Fulgoroidae,Unknown.Hemipteran,Carabidae,Staphylinidae,Cantharidae,Lampyridae,Coccinellidae,Scarabaeidae,Chrysomelidae,Curculionidae,Mordellidae,Elateridae,Unknown.coleoptera,Lepidoptera,Orthoptera,Thysanoptera,Psocodea,Trichoptera,Blattodea,Neuroptera
6/13/2019,HDB,BE,41,124,0,2,3,4,0,0,4,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,437,0,0,0,0
7/18/2019,HDB,BE,0,231,3,3,14,39,0,3,1,29,0,0,24,8,0,0,0,0,0,0,0,4,0,2,0,1,1,1,4,0,0,0,10,0,0,273,0,1,0,0
8/22/2019,HDB,BE,0,66,1,6,1,37,0,0,1,12,1,0,384,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,224,0,0,0,0
5/13/2021,HDB,BE,0,52,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,HDB,BE,2,49,0,4,0,5,1,0,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,26,1,0,0,0
7/21/2021,HDB,BE,0,62,0,3,2,19,0,2,0,2,0,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,13,2,0,0,0
8/26/2021,HDB,BE,0,69,13,1,0,46,3,0,0,4,0,0,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,71,0,0,0,0
9/19/2021,HDB,BE,0,15,2,1,1,28,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,0,0,0
6/13/2019,SNC,BE,7,148,1,3,4,6,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,38,0,0,0,0
7/18/2019,SNC,BE,6,183,5,2,13,21,0,1,2,29,0,0,18,319,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,0,9,1,0,46,0,0,0,0
8/22/2019,SNC,BE,0,86,0,2,1,21,0,3,0,12,2,4,16,59,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,3,1,3,18,0,0,0,0
5/13/2021,SNC,BE,0,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,SNC,BE,0,47,0,2,0,4,0,0,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7/21/2021,SNC,BE,2,33,0,5,3,5,0,2,0,6,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8/26/2021,SNC,BE,3,19,0,1,1,5,0,0,0,0,0,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0
9/19/2021,SNC,BE,1,12,4,0,4,13,0,1,0,2,0,1,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1
6/13/2019,EWB,SE,81,1247,0,2,4,4,0,0,6,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,159,0,0,0,0
7/18/2019,EWB,SE,0,179,1,0,13,19,0,0,1,8,0,0,11,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,9,0,0,122,0,1,0,0
8/22/2019,EWB,SE,0,156,0,0,2,29,0,0,0,17,0,32,328,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,1,0,0,32,0,2,0,0
5/13/2021,EWB,SE,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/17/2021,EWB,SE,0,68,0,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
7/21/2021,EWB,SE,0,38,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
8/26/2021,EWB,SE,3,44,0,2,0,13,0,0,0,0,0,0,159,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,21,0,0,0,0
9/19/2021,EWB,SE,2,16,2,0,1,8,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,0,0,0,0
6/13/2019,WSC,SE,86,384,3,3,8,21,0,0,1,5,0,0,8,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,3,0,0,0,0,7,357,0,0,0,0
7/18/2019,WSC,SE,9,358,18,3,3,75,0,0,23,75,1,1,2420,25,21,1,8,0,0,0,0,2,0,0,0,0,10,0,2,7,16,0,8,1,26,309,0,0,0,1
