Sample,Trap,Date,Site,Syrphidae,Ichneumonoidae,Chalcidoidae,Wingless.parasitoid.wasp,Anthocoridae,Reduviidae,Carabidae,Cantharidae,Coccinellidae,Neuroptera,sitetype
B7,bowl,6/13/2019,SSH,9,0,0,0,0,0,0,0,0,0,Natural
B8,bowl,6/13/2019,SSH,15,0,0,0,0,0,0,0,0,0,Natural
B9,bowl,6/13/2019,DGM,69,0,1,0,0,0,0,0,0,0,Natural
B10,bowl,6/13/2019,DGM,38,0,0,0,0,0,0,0,0,0,Natural
B11,bowl,6/13/2019,DGM,32,0,0,0,0,0,0,0,0,0,Natural
B12,bowl,6/13/2019,BFB,17,0,2,0,0,0,0,0,0,0,Natural
B13,bowl,6/13/2019,BFB,14,1,0,0,0,0,0,0,0,0,Natural
B14,bowl,6/13/2019,BFB,8,1,0,0,0,0,0,0,0,0,Natural
B15,bowl,6/13/2019,SNC,4,0,0,0,0,0,0,0,0,0,Greenroof
B16,bowl,6/13/2019,SNC,1,0,0,0,0,0,0,0,0,0,Greenroof
B17,bowl,6/13/2019,HDB,15,0,0,0,0,0,0,0,0,0,Greenroof
B18,bowl,6/13/2019,WSC,12,0,0,0,0,0,0,0,0,0,Greenroof
B19,bowl,6/13/2019,WSC,12,0,0,0,0,0,0,0,0,0,Greenroof
B20,bowl,6/13/2019,EWB,10,0,0,0,0,0,0,0,0,0,Greenroof
B21,bowl,6/13/2019,EWB,15,0,0,0,0,0,0,0,0,0,Greenroof
B35,bowl,7/18/2019,SSH,0,0,0,0,0,0,0,0,0,0,Natural
B36,bowl,7/18/2019,SSH,2,0,0,0,0,0,0,0,0,0,Natural
B37,bowl,7/18/2019,SSH,4,0,0,0,0,0,0,0,0,0,Natural
B38,bowl,7/18/2019,DGM,0,0,1,0,0,0,0,0,0,0,Natural
B39,bowl,7/18/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
B40,bowl,7/18/2019,BFB,2,0,0,0,0,0,0,0,0,0,Natural
B41,bowl,7/18/2019,BFB,4,0,0,0,0,0,1,0,0,0,Natural
B42,bowl,7/18/2019,BFB,1,0,0,0,0,0,0,0,0,0,Natural
B43,bowl,7/18/2019,SNC,2,0,0,0,0,0,0,0,0,0,Greenroof
B44,bowl,7/18/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
B45,bowl,7/18/2019,HDB,0,0,0,0,0,0,0,0,0,0,Greenroof
B46,bowl,7/18/2019,WSC,6,0,0,0,0,0,0,0,0,0,Greenroof
B47,bowl,7/18/2019,WSC,0,0,0,0,0,0,0,0,0,0,Greenroof
B48,bowl,7/18/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
B49,bowl,7/18/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
B63,bowl,8/22/2019,SSH,6,0,0,0,0,0,0,1,0,0,Natural
B64,bowl,8/22/2019,SSH,0,0,0,0,0,0,0,0,0,0,Natural
B65,bowl,8/22/2019,SSH,0,0,0,0,0,0,0,0,0,0,Natural
B66,bowl,8/22/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
B67,bowl,8/22/2019,DGM,1,0,0,0,0,0,0,0,0,0,Natural
B68,bowl,8/22/2019,DGM,4,0,1,0,0,0,0,0,0,0,Natural
B69,bowl,8/22/2019,BFB,0,0,0,0,0,0,0,2,0,0,Natural
B70,bowl,8/22/2019,BFB,0,0,1,0,0,0,0,0,0,0,Natural
B71,bowl,8/22/2019,BFB,0,1,0,0,0,0,0,0,0,0,Natural
B72,bowl,8/22/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
B73,bowl,8/22/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
B74,bowl,8/22/2019,HDB,0,0,0,0,0,0,0,0,0,0,Greenroof
B75,bowl,8/22/2019,WSC,0,0,0,0,0,0,0,0,0,0,Greenroof
B76,bowl,8/22/2019,WSC,0,0,0,0,0,0,0,4,0,0,Greenroof
B77,bowl,8/22/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
B78,bowl,8/22/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
R7,ramp,6/13/2019,SSH,6,0,3,0,0,0,0,0,0,0,Natural
R8,ramp,6/13/2019,SSH,16,1,0,0,0,0,0,0,0,0,Natural
R9,ramp,6/13/2019,SSH,8,0,0,0,0,0,0,0,0,0,Natural
R10,ramp,6/13/2019,DGM,3,0,0,0,0,0,0,0,0,0,Natural
R11,ramp,6/13/2019,DGM,5,0,0,0,0,0,0,0,0,0,Natural
R12,ramp,6/13/2019,DGM,6,0,0,0,0,0,0,0,0,0,Natural
R13,ramp,6/13/2019,BFB,2,0,0,0,0,0,0,0,0,0,Natural
R14,ramp,6/13/2019,BFB,7,1,0,0,0,0,0,0,0,0,Natural
R15,ramp,6/13/2019,BFB,4,3,2,0,0,0,0,0,0,0,Natural
R16,ramp,6/13/2019,SNC,2,0,0,0,0,0,0,0,0,0,Greenroof
R17,ramp,6/13/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
R18,ramp,6/13/2019,SNC,0,1,1,0,0,0,0,0,0,0,Greenroof
R19,ramp,6/13/2019,HDB,7,0,0,0,0,0,0,0,0,0,Greenroof
R20,ramp,6/13/2019,HDB,4,0,0,0,0,0,0,0,0,0,Greenroof
R21,ramp,6/13/2019,WSC,10,0,0,0,0,0,0,0,0,0,Greenroof
R22,ramp,6/13/2019,WSC,8,0,0,0,0,0,0,0,0,0,Greenroof
R23,ramp,6/13/2019,WSC,7,0,0,0,0,0,0,0,0,0,Greenroof
R24,ramp,6/13/2019,EWB,11,0,1,0,0,0,0,0,0,0,Greenroof
R25,ramp,6/13/2019,EWB,16,0,0,0,0,0,0,0,0,0,Greenroof
R26,ramp,6/13/2019,EWB,10,0,0,0,0,0,0,0,0,0,Greenroof
R40,ramp,7/18/2019,SSH,0,0,2,0,0,0,0,0,0,0,Natural
R41,ramp,7/18/2019,SSH,0,1,2,0,0,0,0,0,0,0,Natural
R42,ramp,7/18/2019,SSH,0,0,0,0,0,0,0,0,0,0,Natural
R43,ramp,7/18/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
R44,ramp,7/18/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
R45,ramp,7/18/2019,DGM,0,0,1,0,0,0,0,0,0,0,Natural
R46,ramp,7/18/2019,BFB,2,3,5,0,0,0,0,0,0,0,Natural
R47,ramp,7/18/2019,BFB,0,1,1,0,0,0,0,0,0,0,Natural
R48,ramp,7/18/2019,BFB,0,1,13,0,0,0,0,0,0,0,Natural
R49,ramp,7/18/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
R50,ramp,7/18/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
R51,ramp,7/18/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
R52,ramp,7/18/2019,HDB,0,1,0,0,0,0,0,0,0,0,Greenroof
R53,ramp,7/18/2019,HDB,0,0,1,0,0,0,0,0,0,0,Greenroof
R54,ramp,7/18/2019,WSC,0,0,13,0,0,0,0,0,0,0,Greenroof
R55,ramp,7/18/2019,WSC,0,0,8,0,0,0,0,0,1,1,Greenroof
R56,ramp,7/18/2019,WSC,0,0,3,0,1,0,0,0,0,0,Greenroof
R57,ramp,7/18/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
R58,ramp,7/18/2019,EWB,0,0,1,0,0,0,0,0,1,0,Greenroof
R59,ramp,7/18/2019,EWB,0,0,1,0,0,0,0,0,0,0,Greenroof
R73,ramp,8/22/2019,SSH,1,0,3,0,0,0,0,0,0,0,Natural
R74,ramp,8/22/2019,SSH,0,0,6,0,0,0,0,0,0,1,Natural
R75,ramp,8/22/2019,SSH,0,3,5,0,0,0,0,0,0,0,Natural
R76,ramp,8/22/2019,DGM,0,0,2,0,0,0,0,0,0,0,Natural
R77,ramp,8/22/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
R78,ramp,8/22/2019,DGM,0,0,0,0,0,0,0,0,0,0,Natural
R79,ramp,8/22/2019,BFB,0,1,12,0,0,0,0,0,0,0,Natural
R80,ramp,8/22/2019,BFB,0,2,16,0,0,0,0,1,0,0,Natural
R81,ramp,8/22/2019,BFB,0,1,19,0,0,0,0,1,0,1,Natural
R82,ramp,8/22/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
R83,ramp,8/22/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
R84,ramp,8/22/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
R85,ramp,8/22/2019,HDB,0,0,3,0,0,0,0,0,0,0,Greenroof
R86,ramp,8/22/2019,HDB,0,0,3,0,0,0,0,0,0,0,Greenroof
R87,ramp,8/22/2019,WSC,0,0,2,0,0,0,0,2,0,0,Greenroof
R88,ramp,8/22/2019,WSC,0,0,8,0,0,0,0,0,0,0,Greenroof
R89,ramp,8/22/2019,WSC,0,0,11,0,0,0,0,0,0,0,Greenroof
R90,ramp,8/22/2019,EWB,0,0,4,0,0,0,0,0,0,0,Greenroof
R91,ramp,8/22/2019,EWB,0,0,1,0,0,0,0,0,0,0,Greenroof
R92,ramp,8/22/2019,EWB,0,0,2,0,0,0,0,0,0,0,Greenroof
C14,sticky,6/13/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
C15,sticky,6/13/2019,SNC,0,1,1,0,0,0,0,0,0,0,Greenroof
C16,sticky,6/13/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
C17,sticky,6/13/2019,SNC,0,2,1,0,0,0,0,0,0,0,Greenroof
C18,sticky,6/13/2019,SNC,0,0,0,0,0,0,0,0,0,0,Greenroof
C19,sticky,6/13/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
C20,sticky,6/13/2019,HDB,0,1,1,0,0,0,0,0,0,0,Greenroof
C21,sticky,6/13/2019,HDB,3,1,2,0,0,0,0,0,0,0,Greenroof
C22,sticky,6/13/2019,HDB,12,1,1,0,0,0,0,0,0,0,Greenroof
C23,sticky,6/13/2019,BFB,0,0,1,0,0,0,0,0,0,0,Natural
C25,sticky,6/13/2019,BFB,1,7,4,0,0,0,0,0,0,0,Natural
C28,sticky,6/13/2019,BFB,0,3,4,0,0,0,0,0,0,0,Natural
C33,sticky,6/13/2019,EWB,3,0,1,0,0,0,0,0,0,0,Greenroof
C37,sticky,6/13/2019,SSH,4,4,16,0,0,0,0,2,0,0,Natural
C39,sticky,6/13/2019,SSH,3,1,5,0,0,0,0,0,0,0,Natural
C40,sticky,6/13/2019,SSH,3,1,1,0,0,0,0,0,0,0,Natural
C44,sticky,6/13/2019,WSC,1,4,0,0,0,0,0,0,0,0,Greenroof
C47,sticky,6/13/2019,WSC,1,0,5,0,0,0,0,0,0,0,Greenroof
C46,sticky,6/13/2019,WSC,1,1,2,0,1,0,0,0,0,0,Greenroof
C24,sticky,6/13/2019,BFB,0,5,5,0,0,0,0,0,0,0,Natural
C26,sticky,6/13/2019,BFB,0,5,9,0,0,0,0,0,0,0,Natural
C27,sticky,6/13/2019,BFB,2,5,3,0,0,0,0,0,0,0,Natural
C29,sticky,6/13/2019,BFB,0,0,0,0,0,0,0,0,0,0,Natural
C30,sticky,6/13/2019,EWB,0,0,0,0,0,0,0,0,0,0,Greenroof
C31,sticky,6/13/2019,EWB,3,2,2,0,0,0,0,0,0,0,Greenroof
C32,sticky,6/13/2019,EWB,4,0,0,0,0,0,0,0,0,0,Greenroof
C34,sticky,6/13/2019,EWB,8,2,0,0,0,0,0,0,0,0,Greenroof
C35,sticky,6/13/2019,EWB,1,0,0,0,0,0,0,0,0,0,Greenroof
C36,sticky,6/13/2019,SSH,2,1,3,0,0,0,0,0,0,0,Natural
C38,sticky,6/13/2019,SSH,2,1,5,0,1,0,0,1,0,0,Natural
C41,sticky,6/13/2019,SSH,3,1,2,0,0,0,0,0,0,0,Natural
C42,sticky,6/13/2019,WSC,3,0,4,0,0,0,0,0,0,0,Greenroof
C45,sticky,6/13/2019,WSC,6,2,4,0,0,0,0,0,0,0,Greenroof
C43,sticky,6/13/2019,WSC,25,1,6,0,0,0,0,0,0,0,Greenroof
C73,sticky,7/18/2019,DGM,0,0,2,0,0,0,0,0,0,0,Natural
C75,sticky,7/18/2019,DGM,0,0,3,0,0,0,0,0,0,0,Natural
C77,sticky,7/18/2019,DGM,0,0,1,0,0,0,0,0,0,0,Natural
C70,sticky,7/18/2019,HDB,0,0,6,0,0,0,0,0,0,0,Greenroof
C71,sticky,7/18/2019,HDB,0,0,4,0,0,0,0,0,0,0,Greenroof
C72,sticky,7/18/2019,HDB,0,0,9,0,0,0,0,0,0,0,Greenroof
C74,sticky,7/18/2019,DGM,0,4,4,0,0,0,0,0,0,0,Natural
C76,sticky,7/18/2019,DGM,1,0,2,0,0,0,0,0,0,0,Natural
C78,sticky,7/18/2019,DGM,0,0,1,0,0,0,0,0,0,0,Natural
C101,sticky,7/18/2019,SSH,0,1,4,0,0,0,0,0,0,0,Natural
C102,sticky,7/18/2019,SSH,3,2,5,0,0,0,0,0,0,0,Natural
C103,sticky,7/18/2019,SSH,1,2,4,0,0,0,0,0,0,0,Natural
C104,sticky,7/18/2019,SSH,1,3,7,0,0,0,0,0,0,0,Natural
C105,sticky,7/18/2019,SSH,0,1,5,0,0,0,0,0,0,0,Natural
C106,sticky,7/18/2019,SSH,1,1,8,0,0,0,0,0,0,0,Natural
C107,sticky,7/18/2019,SNC,0,1,3,0,0,0,0,0,0,0,Greenroof
C108,sticky,7/18/2019,SNC,0,4,8,0,0,0,0,0,1,0,Greenroof
C109,sticky,7/18/2019,SNC,0,4,2,0,0,0,0,0,0,0,Greenroof
C110,sticky,7/18/2019,SNC,3,2,2,0,0,0,0,0,0,0,Greenroof
C111,sticky,7/18/2019,SNC,1,1,1,0,0,0,0,0,0,0,Greenroof
C112,sticky,7/18/2019,SNC,0,1,3,0,0,0,0,0,0,0,Greenroof
C113,sticky,7/18/2019,EWB,0,3,4,0,0,0,0,0,0,0,Greenroof
C114,sticky,7/18/2019,EWB,0,2,2,0,0,0,0,0,0,0,Greenroof
C115,sticky,7/18/2019,EWB,0,0,3,0,0,0,0,0,0,0,Greenroof
C116,sticky,7/18/2019,EWB,0,3,1,0,0,0,0,0,0,0,Greenroof
C117,sticky,7/18/2019,EWB,0,4,7,0,0,0,0,0,0,0,Greenroof
C118,sticky,7/18/2019,EWB,0,1,0,0,0,0,0,0,0,0,Greenroof
C119,sticky,7/18/2019,BFB,0,0,3,0,0,0,0,0,0,0,Natural
C120,sticky,7/18/2019,BFB,0,0,2,0,0,0,0,0,0,0,Natural
C121,sticky,7/18/2019,BFB,0,2,7,0,0,0,0,0,0,0,Natural
C122,sticky,7/18/2019,BFB,0,1,13,0,0,0,0,0,0,0,Natural
C123,sticky,7/18/2019,BFB,0,2,4,0,0,0,0,0,0,0,Natural
C124,sticky,7/18/2019,BFB,0,1,6,0,0,0,0,0,0,0,Natural
C125,sticky,7/18/2019,WSC,0,0,6,0,0,0,0,0,2,0,Greenroof
C126,sticky,7/18/2019,WSC,0,0,9,0,2,0,0,0,1,0,Greenroof
C127,sticky,7/18/2019,WSC,1,0,3,0,0,0,0,0,0,0,Greenroof
C128,sticky,7/18/2019,WSC,1,2,12,0,2,0,0,0,5,0,Greenroof
C129,sticky,7/18/2019,WSC,0,0,14,0,1,0,0,0,1,0,Greenroof
C130,sticky,7/18/2019,WSC,1,1,7,0,2,0,0,0,0,0,Greenroof
C141,sticky,8/22/2019,HDB,0,0,16,0,0,0,0,0,0,0,Greenroof
C142,sticky,8/22/2019,HDB,0,0,10,0,0,0,0,0,0,0,Greenroof
C143,sticky,8/22/2019,HDB,0,1,5,0,0,0,0,0,1,0,Greenroof
C144,sticky,8/22/2019,EWB,0,0,4,0,0,0,0,0,1,0,Greenroof
C145,sticky,8/22/2019,EWB,0,0,5,0,0,0,0,0,0,0,Greenroof
C146,sticky,8/22/2019,EWB,0,0,5,0,0,0,0,0,0,0,Greenroof
C147,sticky,8/22/2019,EWB,0,1,2,0,0,0,0,0,0,0,Greenroof
C148,sticky,8/22/2019,EWB,0,0,3,0,0,0,0,0,0,0,Greenroof
C149,sticky,8/22/2019,EWB,0,1,3,0,0,0,0,0,0,0,Greenroof
C150,sticky,8/22/2019,SNC,0,0,8,0,0,0,0,0,0,0,Greenroof
C151,sticky,8/22/2019,SNC,0,0,3,0,0,0,0,0,0,0,Greenroof
C152,sticky,8/22/2019,SNC,0,1,3,0,0,0,0,0,0,0,Greenroof
C153,sticky,8/22/2019,SNC,0,0,5,0,0,0,0,0,0,0,Greenroof
C154,sticky,8/22/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
C155,sticky,8/22/2019,SNC,0,0,1,0,0,0,0,0,0,0,Greenroof
C156,sticky,8/22/2019,SSH,0,1,10,0,0,0,0,0,1,0,Natural
C157,sticky,8/22/2019,SSH,0,0,2,0,0,0,0,1,0,0,Natural
C158,sticky,8/22/2019,SSH,0,2,6,0,0,0,0,0,0,0,Natural
C159,sticky,8/22/2019,SSH,0,1,7,0,0,0,0,0,0,0,Natural
C160,sticky,8/22/2019,SSH,0,0,9,0,0,0,0,0,0,0,Natural
C161,sticky,8/22/2019,SSH,0,1,4,0,0,0,0,0,0,0,Natural
C162,sticky,8/22/2019,WSC,0,1,2,0,0,0,0,2,0,0,Greenroof
C163,sticky,8/22/2019,WSC,0,0,8,0,0,0,0,2,0,0,Greenroof
C164,sticky,8/22/2019,WSC,0,0,7,0,0,0,0,1,0,0,Greenroof
C165,sticky,8/22/2019,WSC,0,0,3,0,0,0,0,2,0,0,Greenroof
C166,sticky,8/22/2019,WSC,0,0,3,0,0,0,0,1,0,0,Greenroof
C167,sticky,8/22/2019,WSC,0,0,3,0,0,0,0,1,0,0,Greenroof
C168,sticky,8/22/2019,DGM,0,0,6,0,0,0,0,0,0,0,Natural
C169,sticky,8/22/2019,DGM,0,0,1,0,0,0,0,0,0,0,Natural
