Sample,Date,Site,Syrphidae,Apoidea,Lepidoptera,sitetype
B7,6/13/2019,SSH,9,0,0,Natural
B8,6/13/2019,SSH,15,1,0,Natural
B9,6/13/2019,DGM,69,1,0,Natural
B10,6/13/2019,DGM,38,3,0,Natural
B11,6/13/2019,DGM,32,0,0,Natural
B12,6/13/2019,BFB,17,4,0,Natural
B13,6/13/2019,BFB,14,0,0,Natural
B14,6/13/2019,BFB,8,3,0,Natural
B15,6/13/2019,SNC,4,0,0,Greenroof
B16,6/13/2019,SNC,1,0,0,Greenroof
B17,6/13/2019,HDB,15,1,0,Greenroof
B18,6/13/2019,WSC,12,0,0,Greenroof
B19,6/13/2019,WSC,12,0,0,Greenroof
B20,6/13/2019,EWB,10,1,0,Greenroof
B21,6/13/2019,EWB,15,1,0,Greenroof
B35,7/18/2019,SSH,0,0,1,Natural
B36,7/18/2019,SSH,2,3,0,Natural
B37,7/18/2019,SSH,4,0,0,Natural
B38,7/18/2019,DGM,0,3,1,Natural
B39,7/18/2019,DGM,0,5,0,Natural
B40,7/18/2019,BFB,2,4,1,Natural
B41,7/18/2019,BFB,4,3,1,Natural
B42,7/18/2019,BFB,1,6,0,Natural
B43,7/18/2019,SNC,2,1,0,Greenroof
B44,7/18/2019,SNC,0,1,0,Greenroof
B45,7/18/2019,HDB,0,3,0,Greenroof
B46,7/18/2019,WSC,6,2,0,Greenroof
B47,7/18/2019,WSC,0,0,0,Greenroof
B48,7/18/2019,EWB,0,0,0,Greenroof
B49,7/18/2019,EWB,0,0,0,Greenroof
B63,8/22/2019,SSH,6,0,1,Natural
B64,8/22/2019,SSH,0,2,1,Natural
B65,8/22/2019,SSH,0,1,0,Natural
B66,8/22/2019,DGM,0,1,0,Natural
B67,8/22/2019,DGM,1,0,0,Natural
B68,8/22/2019,DGM,4,0,0,Natural
B69,8/22/2019,BFB,0,4,0,Natural
B70,8/22/2019,BFB,0,2,1,Natural
B71,8/22/2019,BFB,0,2,0,Natural
B72,8/22/2019,SNC,0,1,1,Greenroof
B73,8/22/2019,SNC,0,0,0,Greenroof
B74,8/22/2019,HDB,0,6,0,Greenroof
B75,8/22/2019,WSC,0,2,0,Greenroof
B76,8/22/2019,WSC,0,4,0,Greenroof
B77,8/22/2019,EWB,0,0,0,Greenroof
B78,8/22/2019,EWB,0,0,0,Greenroof
R7,6/13/2019,SSH,6,1,0,Natural
R8,6/13/2019,SSH,16,14,0,Natural
R9,6/13/2019,SSH,8,6,0,Natural
R10,6/13/2019,DGM,3,0,0,Natural
R11,6/13/2019,DGM,5,0,0,Natural
R12,6/13/2019,DGM,6,0,0,Natural
R13,6/13/2019,BFB,2,0,0,Natural
R14,6/13/2019,BFB,7,2,1,Natural
R15,6/13/2019,BFB,4,2,0,Natural
R16,6/13/2019,SNC,2,0,0,Greenroof
R17,6/13/2019,SNC,0,2,0,Greenroof
R18,6/13/2019,SNC,0,1,0,Greenroof
R19,6/13/2019,HDB,7,0,0,Greenroof
R20,6/13/2019,HDB,4,0,0,Greenroof
R21,6/13/2019,WSC,10,0,0,Greenroof
R22,6/13/2019,WSC,8,0,0,Greenroof
R23,6/13/2019,WSC,7,0,0,Greenroof
R24,6/13/2019,EWB,11,0,0,Greenroof
R25,6/13/2019,EWB,16,0,0,Greenroof
R26,6/13/2019,EWB,10,0,0,Greenroof
R40,7/18/2019,SSH,0,3,0,Natural
R41,7/18/2019,SSH,0,5,0,Natural
R42,7/18/2019,SSH,0,6,0,Natural
R43,7/18/2019,DGM,0,0,0,Natural
R44,7/18/2019,DGM,0,0,0,Natural
R45,7/18/2019,DGM,0,1,0,Natural
R46,7/18/2019,BFB,2,0,0,Natural
R47,7/18/2019,BFB,0,0,0,Natural
R48,7/18/2019,BFB,0,0,0,Natural
R49,7/18/2019,SNC,0,0,0,Greenroof
R50,7/18/2019,SNC,0,0,1,Greenroof
R51,7/18/2019,SNC,0,0,0,Greenroof
R52,7/18/2019,HDB,0,0,0,Greenroof
R53,7/18/2019,HDB,0,0,0,Greenroof
R54,7/18/2019,WSC,0,0,0,Greenroof
R55,7/18/2019,WSC,0,1,0,Greenroof
R56,7/18/2019,WSC,0,0,0,Greenroof
R57,7/18/2019,EWB,0,0,0,Greenroof
R58,7/18/2019,EWB,0,0,0,Greenroof
R59,7/18/2019,EWB,0,0,0,Greenroof
R73,8/22/2019,SSH,1,0,0,Natural
R74,8/22/2019,SSH,0,0,0,Natural
R75,8/22/2019,SSH,0,1,0,Natural
R76,8/22/2019,DGM,0,0,0,Natural
R77,8/22/2019,DGM,0,0,0,Natural
R78,8/22/2019,DGM,0,0,0,Natural
R79,8/22/2019,BFB,0,1,0,Natural
R80,8/22/2019,BFB,0,0,0,Natural
R81,8/22/2019,BFB,0,1,2,Natural
R82,8/22/2019,SNC,0,0,0,Greenroof
R83,8/22/2019,SNC,0,0,0,Greenroof
R84,8/22/2019,SNC,0,1,0,Greenroof
R85,8/22/2019,HDB,0,0,0,Greenroof
R86,8/22/2019,HDB,0,0,0,Greenroof
R87,8/22/2019,WSC,0,0,0,Greenroof
R88,8/22/2019,WSC,0,0,0,Greenroof
R89,8/22/2019,WSC,0,0,0,Greenroof
R90,8/22/2019,EWB,0,0,0,Greenroof
R91,8/22/2019,EWB,0,0,0,Greenroof
R92,8/22/2019,EWB,0,0,0,Greenroof
C14,6/13/2019,SNC,0,0,0,Greenroof
C15,6/13/2019,SNC,0,0,0,Greenroof
C16,6/13/2019,SNC,0,0,0,Greenroof
C17,6/13/2019,SNC,0,0,0,Greenroof
C18,6/13/2019,SNC,0,0,0,Greenroof
C19,6/13/2019,SNC,0,0,0,Greenroof
C20,6/13/2019,HDB,0,0,0,Greenroof
C21,6/13/2019,HDB,3,1,0,Greenroof
C22,6/13/2019,HDB,12,0,0,Greenroof
C23,6/13/2019,BFB,0,1,0,Natural
C25,6/13/2019,BFB,1,0,0,Natural
C28,6/13/2019,BFB,0,0,0,Natural
C33,6/13/2019,EWB,3,0,0,Greenroof
C37,6/13/2019,SSH,4,0,0,Natural
C39,6/13/2019,SSH,3,0,0,Natural
C40,6/13/2019,SSH,3,0,0,Natural
C44,6/13/2019,WSC,1,0,0,Greenroof
C47,6/13/2019,WSC,1,0,0,Greenroof
C46,6/13/2019,WSC,1,1,0,Greenroof
C24,6/13/2019,BFB,0,0,0,Natural
C26,6/13/2019,BFB,0,1,0,Natural
C27,6/13/2019,BFB,2,0,0,Natural
C29,6/13/2019,BFB,0,0,0,Natural
C30,6/13/2019,EWB,0,0,0,Greenroof
C31,6/13/2019,EWB,3,0,0,Greenroof
C32,6/13/2019,EWB,4,0,0,Greenroof
C34,6/13/2019,EWB,8,0,0,Greenroof
C35,6/13/2019,EWB,1,0,0,Greenroof
C36,6/13/2019,SSH,2,0,1,Natural
C38,6/13/2019,SSH,2,0,1,Natural
C41,6/13/2019,SSH,3,0,0,Natural
C42,6/13/2019,WSC,3,0,0,Greenroof
C45,6/13/2019,WSC,6,0,0,Greenroof
C43,6/13/2019,WSC,25,2,0,Greenroof
C73,7/18/2019,DGM,0,1,0,Natural
C75,7/18/2019,DGM,0,0,0,Natural
C77,7/18/2019,DGM,0,0,0,Natural
C70,7/18/2019,HDB,0,0,0,Greenroof
C71,7/18/2019,HDB,0,0,0,Greenroof
C72,7/18/2019,HDB,0,0,0,Greenroof
C74,7/18/2019,DGM,0,1,0,Natural
C76,7/18/2019,DGM,1,0,0,Natural
C78,7/18/2019,DGM,0,1,0,Natural
C101,7/18/2019,SSH,0,0,0,Natural
C102,7/18/2019,SSH,3,0,0,Natural
C103,7/18/2019,SSH,1,0,1,Natural
C104,7/18/2019,SSH,1,0,0,Natural
C105,7/18/2019,SSH,0,0,0,Natural
C106,7/18/2019,SSH,1,1,0,Natural
C107,7/18/2019,SNC,0,0,0,Greenroof
C108,7/18/2019,SNC,0,0,0,Greenroof
C109,7/18/2019,SNC,0,0,0,Greenroof
C110,7/18/2019,SNC,3,0,0,Greenroof
C111,7/18/2019,SNC,1,0,0,Greenroof
C112,7/18/2019,SNC,0,0,0,Greenroof
C113,7/18/2019,EWB,0,0,0,Greenroof
C114,7/18/2019,EWB,0,0,0,Greenroof
C115,7/18/2019,EWB,0,0,0,Greenroof
C116,7/18/2019,EWB,0,0,0,Greenroof
C117,7/18/2019,EWB,0,0,0,Greenroof
C118,7/18/2019,EWB,0,0,0,Greenroof
C119,7/18/2019,BFB,0,0,0,Natural
C120,7/18/2019,BFB,0,0,0,Natural
C121,7/18/2019,BFB,0,0,0,Natural
C122,7/18/2019,BFB,0,0,1,Natural
C123,7/18/2019,BFB,0,1,0,Natural
C124,7/18/2019,BFB,0,2,0,Natural
C125,7/18/2019,WSC,0,0,1,Greenroof
C126,7/18/2019,WSC,0,0,0,Greenroof
C127,7/18/2019,WSC,1,0,0,Greenroof
C128,7/18/2019,WSC,1,0,0,Greenroof
C129,7/18/2019,WSC,0,0,0,Greenroof
C130,7/18/2019,WSC,1,0,0,Greenroof
C141,8/22/2019,HDB,0,0,1,Greenroof
C142,8/22/2019,HDB,0,0,0,Greenroof
C143,8/22/2019,HDB,0,0,0,Greenroof
C144,8/22/2019,EWB,0,0,0,Greenroof
